"Statistic","Financial Year","Local Government District","Motorway","A Roads (dual)","A Roads (single)","B Roads","C Roads","Unclassified","All Road Type"
"Total length of roads","2019/20","Antrim and Newtownabbey",35.2,21.7,107.8,150.2,238.5,820.5,1373.9
"Total length of roads","2019/20","Armagh City, Banbridge and Craigavon",25.5,29.9,231.6,397.2,677.6,2218.4,3580.2
"Total length of roads","2019/20","Belfast",12.4,21.1,92.2,50.8,35.8,877.3,1089.6
"Total length of roads","2019/20","Causeway Coast and Glens",0,8.7,288,452.9,446,1449.6,2645.3
"Total length of roads","2019/20","Derry City and Strabane",0,17.4,91.3,260.9,452.1,1512.9,2334.6
"Total length of roads","2019/20","Fermanagh and Omagh",0,0.6,319,454.9,878.6,2336.3,3989.5
"Total length of roads","2019/20","Lisburn and Castlereagh",25.6,11.9,111.3,141.8,227.6,848.3,1366.4
"Total length of roads","2019/20","Mid and East Antrim",7.3,38.1,152.5,236.1,308.5,1007.6,1750.3
"Total length of roads","2019/20","Mid Ulster",8.9,27.4,215.6,419.8,692,2042.1,3405.9
"Total length of roads","2019/20","Newry, Mourne and Down",0,29.4,320.6,290,604.9,1824.9,3069.8
"Total length of roads","2019/20","Ards and North Down",0,26.4,136.3,57.8,165.2,778.5,1164.2
"Total length of roads","2019/20","Northern Ireland",114.8,232.7,2066.3,2912.4,4727,15716.4,25769.6
"Total length of roads","2020/21","Antrim and Newtownabbey",35.2,21.69,107.79,149.9,238.35,823.14,1376.06
"Total length of roads","2020/21","Armagh City, Banbridge and Craigavon",25.47,29.91,231.57,397.2,677.19,2215.11,3576.46
"Total length of roads","2020/21","Belfast",12.37,21.13,92.22,50.76,35.83,879.64,1091.94
"Total length of roads","2020/21","Causeway Coast and Glens",0,8.76,287.72,453.69,445.94,1449.95,2646.07
"Total length of roads","2020/21","Derry City and Strabane",0,17.35,91.3,260.95,452.04,1516.52,2338.16
"Total length of roads","2020/21","Fermanagh and Omagh",0,0.57,319.27,454.88,878.64,2338.53,3991.88
"Total length of roads","2020/21","Lisburn and Castlereagh",25.58,11.92,111.28,141.76,227.62,855.56,1373.72
"Total length of roads","2020/21","Mid and East Antrim",7.3,38.12,152.14,235.84,308.58,1009.77,1751.76
"Total length of roads","2020/21","Mid Ulster",8.88,27.4,215.62,419.83,692.04,2045.23,3409
"Total length of roads","2020/21","Newry, Mourne and Down",0,29.44,320.55,290.01,604.83,1827.59,3072.42
"Total length of roads","2020/21","Ards and North Down",0,26.39,136.31,57.79,165.16,779.21,1164.86
"Total length of roads","2020/21","Northern Ireland",114.8,232.68,2065.77,2912.61,4726.22,15740.25,25792.33
"Total length of roads","2021/22","Antrim and Newtownabbey",35.08,28.56,101.02,156.98,238.35,826.35,1386.34
"Total length of roads","2021/22","Armagh City, Banbridge and Craigavon",25.47,29.91,231.57,396.6,677.4,2221.37,3582.32
"Total length of roads","2021/22","Belfast",12.37,21.13,92.22,50.76,36.19,881.12,1093.79
"Total length of roads","2021/22","Causeway Coast and Glens",0,8.76,287.72,453.69,445.94,1451.58,2647.7
"Total length of roads","2021/22","Derry City and Strabane",0,17.35,91.3,260.95,452.04,1517.86,2339.5
"Total length of roads","2021/22","Fermanagh and Omagh",0,0.57,319.27,454.88,878.64,2338.7,3992.06
"Total length of roads","2021/22","Lisburn and Castlereagh",25.58,11.92,111.28,141.76,227.62,861.5,1379.66
"Total length of roads","2021/22","Mid and East Antrim",7.3,38.12,152.14,235.84,308.58,1013.64,1755.63
"Total length of roads","2021/22","Mid Ulster",8.88,33.34,212.44,419.82,692,2047.33,3413.81
"Total length of roads","2021/22","Newry, Mourne and Down",0,29.44,320.55,290.01,604.83,1828.87,3073.69
"Total length of roads","2021/22","Ards and North Down",0,26.39,136.31,57.79,164.84,783.37,1168.7
"Total length of roads","2021/22","Northern Ireland",114.68,245.49,2055.82,2919.08,4726.43,15771.69,25833.2
"Total length of roads","2022/23","Antrim and Newtownabbey",35.08,28.56,101.02,156.98,238.35,828.75,1388.74
"Total length of roads","2022/23","Armagh City, Banbridge and Craigavon",25.47,29.91,231.73,396.6,677.4,2224.92,3586.03
"Total length of roads","2022/23","Belfast",12.37,21.13,92.31,50.76,36.19,880.87,1093.62
"Total length of roads","2022/23","Causeway Coast and Glens",0,8.76,287.72,453.69,445.94,1452.3,2648.42
"Total length of roads","2022/23","Derry City and Strabane",0,17.35,91.3,257.6,452.04,1521.33,2339.62
"Total length of roads","2022/23","Fermanagh and Omagh",0,0.57,319.27,454.12,878.64,2341.91,3994.51
"Total length of roads","2022/23","Lisburn and Castlereagh",25.58,11.92,111.28,141.76,227.62,864.19,1382.35
"Total length of roads","2022/23","Mid and East Antrim",7.3,38,152.38,235.84,308.58,1016.16,1758.26
"Total length of roads","2022/23","Mid Ulster",8.88,33.34,212.44,419.82,692,2049.62,3416.1
"Total length of roads","2022/23","Newry, Mourne and Down",0,28.9,321.66,290.01,604.3,1833.41,3078.27
"Total length of roads","2022/23","Ards and North Down",0,26.39,136.31,57.79,164.84,787.25,1172.58
"Total length of roads","2022/23","Northern Ireland",114.68,244.83,2057.42,2914.97,4725.9,15800.71,25858.5
"Total length of roads","2023/24","Antrim and Newtownabbey",35.08,28.56,101.02,156.98,238.35,831.75,1391.73
"Total length of roads","2023/24","Armagh City, Banbridge and Craigavon",25.47,29.91,231.7,396.6,677.4,2233.69,3594.77
"Total length of roads","2023/24","Belfast",12.37,21.13,92.31,50.76,36.19,881.09,1093.84
"Total length of roads","2023/24","Causeway Coast and Glens",0,20.14,287.72,453.69,445.94,1454.94,2662.43
"Total length of roads","2023/24","Derry City and Strabane",0,31.08,77.81,265.09,453.66,1528.63,2356.27
"Total length of roads","2023/24","Fermanagh and Omagh",0,0.57,319.27,454.12,878.85,2343.91,3996.72
"Total length of roads","2023/24","Lisburn and Castlereagh",25.58,11.92,111.28,141.76,227.62,865.09,1383.25
"Total length of roads","2023/24","Mid and East Antrim",7.3,38,152.38,235.84,308.58,1021.08,1763.19
"Total length of roads","2023/24","Mid Ulster",8.88,33.34,210.01,426.17,691.84,2052.67,3422.92
"Total length of roads","2023/24","Newry, Mourne and Down",0,28.9,321.63,290.01,604.3,1834.99,3079.82
"Total length of roads","2023/24","Ards and North Down",0,26.39,136.31,57.79,165.56,791.5,1177.56
"Total length of roads","2023/24","Northern Ireland",114.68,269.95,2041.44,2928.81,4728.27,15839.34,25922.49
"Total length of roads","2024/25","Antrim and Newtownabbey",35.079,28.557,101.02,156.9805,238.3455,834.331,1394.313
"Total length of roads","2024/25","Armagh City, Banbridge and Craigavon",25.47,29.913,231.704,396.595,677.4,2233.964,3595.046
"Total length of roads","2024/25","Belfast",12.3695,21.1345,92.305,50.755,36.187,884.873,1097.624
"Total length of roads","2024/25","Causeway Coast and Glens",0,20.317,275.721,465.872,445.937,1458.082,2665.929
"Total length of roads","2024/25","Derry City and Strabane",0,31.057,77.186,265.549,453.804,1539.556,2367.152
"Total length of roads","2024/25","Fermanagh and Omagh",0,0.57,319.382,454.092,879.089,2348.133,4001.266
"Total length of roads","2024/25","Lisburn and Castlereagh",25.582,11.9195,111.281,141.759,227.616,872.151,1390.3085
"Total length of roads","2024/25","Mid and East Antrim",7.3,37.996,152.393,235.8445,308.577,1024.419,1766.5295
"Total length of roads","2024/25","Mid Ulster",8.883,33.343,210.025,426.641,691.94,2059.189,3430.021
"Total length of roads","2024/25","Newry, Mourne and Down",0,28.8995,321.625,290.005,604.298,1837.893,3082.7205
"Total length of roads","2024/25","Ards and North Down",0,26.389,136.314,57.7895,165.564,793.147,1179.2035
"Total length of roads","2024/25","Northern Ireland",114.6835,270.0955,2028.956,2941.8825,4728.7575,15885.738,25970.113
"Percentage of total length of road class","2019/20","Antrim and Newtownabbey",30.66202091,9.314020459,5.219015724,5.157276326,5.045049619,5.220517356,5.33133097
"Percentage of total length of road class","2019/20","Armagh City, Banbridge and Craigavon",22.18641115,16.38872174,7.381829269,8.107430667,6.527382003,6.411435152,6.792047203
"Percentage of total length of road class","2019/20","Belfast",10.77526132,11.34273188,6.59684749,1.984280951,3.494174965,4.953599572,4.517696273
"Percentage of total length of road class","2019/20","Causeway Coast and Glens",0,12.85566922,11.20704257,13.63828333,14.33527748,14.11540138,13.89321893
"Percentage of total length of road class","2019/20","Derry City and Strabane",0,12.6536577,15.5133113,9.957800981,12.79688429,11.61146442,11.91254795
"Percentage of total length of road class","2019/20","Fermanagh and Omagh",0,9.081922118,4.463071495,1.742898444,0.757984434,5.581731243,4.228090906
"Percentage of total length of road class","2019/20","Lisburn and Castlereagh",22.28222997,5.12335597,5.385497679,4.867479973,4.815306081,5.39727483,5.30242088
"Percentage of total length of road class","2019/20","Mid and East Antrim",6.358885017,7.457233732,4.418547251,8.959995056,9.564396944,9.625965151,9.059374339
"Percentage of total length of road class","2019/20","Mid Ulster",7.735191638,0.244992693,15.44071742,15.61878732,18.58764843,14.86557079,15.48133359
"Percentage of total length of road class","2019/20","Newry, Mourne and Down",0,11.77684174,10.43512769,14.41530839,14.64012135,12.99358316,13.21676164
"Percentage of total length of road class","2019/20","Ards and North Down",0,3.760852746,13.93899211,15.55045856,9.435774411,9.223456951,10.26517731
"Percentage of total length of road class","2019/20","Northern Ireland",100,100,100,100,100,100,100
"Percentage of total length of road class","2020/21","Antrim and Newtownabbey",30.66202091,9.321815369,5.217909061,5.146586738,5.0431423,5.229523038,5.335151962
"Percentage of total length of road class","2020/21","Armagh City, Banbridge and Craigavon",22.18641115,12.85456421,11.20986363,13.63725319,14.32836389,14.07290227,13.86637035
"Percentage of total length of road class","2020/21","Belfast",10.77526132,9.081141482,4.464194949,1.742766797,0.758111133,5.588475405,4.23358417
"Percentage of total length of road class","2020/21","Causeway Coast and Glens",0,3.764827231,13.92797843,15.57675075,9.435447355,9.211734248,10.25913518
"Percentage of total length of road class","2020/21","Derry City and Strabane",0,7.456592745,4.419659497,8.959318275,9.564514559,9.634662728,9.065330662
"Percentage of total length of road class","2020/21","Fermanagh and Omagh",0,0.244971635,15.45525397,15.61760758,18.5907554,14.85700672,15.47700421
"Percentage of total length of road class","2020/21","Lisburn and Castlereagh",22.28222997,5.122915592,5.386853328,4.867112315,4.816110972,5.435491812,5.326079497
"Percentage of total length of road class","2020/21","Mid and East Antrim",6.358885017,16.3830153,7.36480828,8.097204912,6.529107828,6.415209415,6.79178655
"Percentage of total length of road class","2020/21","Mid Ulster",7.735191638,11.77582947,10.43775445,14.41421955,14.64256848,12.99363098,13.21710757
"Percentage of total length of road class","2020/21","Newry, Mourne and Down",0,12.65257005,15.51721634,9.957048832,12.79733064,11.61093375,11.91214598
"Percentage of total length of road class","2020/21","Ards and North Down",0,11.34175692,6.598508062,1.984131071,3.49454744,4.950429631,4.516303878
"Percentage of total length of road class","2020/21","Northern Ireland",100,100,100,100,100,100,100
"Percentage of total length of road class","2021/22","Antrim and Newtownabbey",30.58946634,11.63387511,4.913854326,5.377721748,5.042918228,5.239451194,5.366505117
"Percentage of total length of road class","2021/22","Armagh City, Banbridge and Craigavon",22.20962679,12.18379567,11.26411845,13.58647245,14.33217037,14.08454008,13.86711673
"Percentage of total length of road class","2021/22","Belfast",10.78653645,8.607275245,4.485801286,1.738904038,0.765694192,5.586718988,4.23404766
"Percentage of total length of road class","2021/22","Causeway Coast and Glens",0,3.568373457,13.9953887,15.54222563,9.435028129,9.203706134,10.24921419
"Percentage of total length of road class","2021/22","Derry City and Strabane",0,7.067497658,4.441050287,8.939460378,9.564089598,9.623952791,9.056175774
"Percentage of total length of road class","2021/22","Fermanagh and Omagh",0,0.232188684,15.53005613,15.5829919,18.5899294,14.82846797,15.45321524
"Percentage of total length of road class","2021/22","Lisburn and Castlereagh",22.30554587,4.855594933,5.412925256,4.856324595,4.815896988,5.462318876,5.340646919
"Percentage of total length of road class","2021/22","Mid and East Antrim",6.365538891,15.52812742,7.400453347,8.079257848,6.528817733,6.426958684,6.796022173
"Percentage of total length of road class","2021/22","Mid Ulster",7.743285664,13.58100126,10.33358952,14.38192855,14.64107159,12.98104388,13.21481659
"Percentage of total length of road class","2021/22","Newry, Mourne and Down",0,11.99234185,15.59231839,9.934979514,12.79676204,11.5959038,11.89821625
"Percentage of total length of road class","2021/22","Ards and North Down",0,10.74992871,6.6304443,1.979733341,3.487621736,4.966937595,4.52402335
"Percentage of total length of road class","2021/22","Northern Ireland",100,100,100,100,100,100,100
"Percentage of total length of road class","2022/23","Antrim and Newtownabbey",30.58946634,11.6652371,4.910032954,5.385304137,5.043483781,5.245017471,5.370535801
