"Statistic","Financial Year","Local Government District","A Class","B Class","C Class"
"Good","2019/20","Antrim and Newtownabbey",84.8,78.1,73.1
"Good","2019/20","Armagh City, Banbridge and Craigavon",83.2,73.6,64.1
"Good","2019/20","Belfast",79.2,81.2,82.8
"Good","2019/20","Causeway Coast and Glens",85.3,76.5,67.3
"Good","2019/20","Derry City and Strabane",88,69.8,57.9
"Good","2019/20","Fermanagh and Omagh",81.2,69.8,57.8
"Good","2019/20","Lisburn and Castlereagh",77.9,73.7,67.8
"Good","2019/20","Mid and East Antrim",85.8,74.4,67.1
"Good","2019/20","Mid Ulster",80.5,68.6,62.7
"Good","2019/20","Newry, Mourne and Down",73.1,69.7,56.2
"Good","2019/20","Ards and North Down",75.7,80.3,76.4
"Good","2019/20","Northern Ireland",80.9,72.6,62.8
"Good","2020/21","Antrim and Newtownabbey",87.2,78.9,75.1
"Good","2020/21","Armagh City, Banbridge and Craigavon",81.4,74,64.1
"Good","2020/21","Belfast",80.3,82.8,82.3
"Good","2020/21","Causeway Coast and Glens",86.1,76.4,67.7
"Good","2020/21","Derry City and Strabane",86.4,69.8,58
"Good","2020/21","Fermanagh and Omagh",82.6,70.6,58.7
"Good","2020/21","Lisburn and Castlereagh",78.6,73.7,67.9
"Good","2020/21","Mid and East Antrim",87.9,75.5,67.7
"Good","2020/21","Mid Ulster",80.4,69.3,62.2
"Good","2020/21","Newry, Mourne and Down",72.9,70.2,55.8
"Good","2020/21","Ards and North Down",77.6,80.8,76.4
"Good","2020/21","Northern Ireland",81.4,73.1,63
"Good","2021/22","Antrim and Newtownabbey",88.6,78,75.9
"Good","2021/22","Armagh City, Banbridge and Craigavon",81.6,73.9,64.2
"Good","2021/22","Belfast",78.5,83.9,83.6
"Good","2021/22","Causeway Coast and Glens",86.7,76.2,68
"Good","2021/22","Derry City and Strabane",85.7,70.6,58.8
"Good","2021/22","Fermanagh and Omagh",84.7,70.6,58.7
"Good","2021/22","Lisburn and Castlereagh",80.4,74.9,70.8
"Good","2021/22","Mid and East Antrim",89,78,69
"Good","2021/22","Mid Ulster",81.7,69.3,62.6
"Good","2021/22","Newry, Mourne and Down",75.1,70.2,55.7
"Good","2021/22","Ards and North Down",79.7,80.9,77.3
"Good","2021/22","Northern Ireland",82.7,73.4,63.5
"Good","2022/23","Antrim and Newtownabbey",89.3,79.5,75.7
"Good","2022/23","Armagh City, Banbridge and Craigavon",81,76.7,64.7
